iter	Passed	Remaining
1043	141027	129139
1044	141171	129013
1045	141307	128878
1046	141442	128743
1047	141571	128603
1048	141709	128470
1049	141844	128335
1050	141981	128201
1051	142119	128069
1052	142244	127925
1053	142375	127787
1054	142508	127649
1055	142679	127547
1056	142828	127423
1057	142972	127296
1058	143112	127166
1059	143243	127027
1060	143381	126894
1061	143514	126757
1062	143653	126625
1063	143788	126490
1064	143925	126356
1065	144062	126223
1066	144196	126087
1067	144331	125952
1068	144469	125819
1069	144609	125688
1070	144738	125548
1071	144873	125413
1072	145005	125275
1073	145146	125144
1074	145279	125007
1075	145414	124872
1076	145538	124728
1077	145677	124595
1078	145816	124464
1079	145954	124331
1080	146089	124196
1081	146232	124068
1082	146378	123941
1083	146513	123806
1084	146651	123673
1085	146788	123540
1086	146922	123404
1087	147010	123229
1088	147149	123097
1089	147295	122971
1090	147427	122833
1091	147562	122698
1092	147701	122566
1093	147858	122449
1094	147995	122316
1095	148130	122180
1096	148264	122044
1097	148402	121911
1098	148535	121775
1099	148670	121639
1100	148812	121509
1101	148955	121381
1102	149089	121245
1103	149226	121111
1104	149387	120997
1105	149523	120862
1106	149661	120729
1107	149800	120597
1108	149977	120495
1109	150137	120380
1110	150282	120252
1111	150421	120120
1112	150556	119985
1113	150688	119847
1114	150834	119720
1115	150971	119586
1116	151097	119444
1117	151241	119315
1118	151385	119187
1119	151525	119055
1120	151698	118950
1121	151833	118814
1122	151975	118684
1123	152114	118551
1124	152251	118418
1125	152389	118284
1126	152537	118158
1127	152672	118023
1128	152811	117890
1129	152948	117756
1130	153083	117621
1131	153218	117485
1132	153346	117344
1133	153478	117206
1134	153566	117035
1135	153698	116897
1136	153835	116763
1137	153977	116633
1138	154124	116506
1139	154262	116373
1140	154402	116241
1141	154536	116104
1142	154678	115974
1143	154811	115837
1144	154947	115703
1145	155071	115559
1146	155207	115424
1147	155347	115292
1148	155484	115158
1149	155622	115025
1150	155768	114897
1151	155926	114779
1152	156064	114645
1153	156206	114515
1154	156339	114378
1155	156475	114243
1156	156613	114110
1157	156733	113963
1158	156867	113826
1159	157001	113690
1160	157137	113555
1161	157267	113416
1162	157401	113280
1163	157541	113148
1164	157670	113008
1165	157807	112874
1166	157942	112738
1167	158082	112606
1168	158234	112482
1169	158380	112355
1170	158519	112222
1171	158658	112089
1172	158803	111961
1173	158939	111826
1174	159081	111695
1175	159222	111563
1176	159362	111431
1177	159505	111301
1178	159651	111173
1179	159787	111038
1180	159925	110905
1181	160071	110777
1182	160207	110641
1183	160346	110508
1184	160482	110374
1185	160626	110244
1186	160763	110110
1187	160904	109978
1188	161034	109839
1189	161176	109708
1190	161316	109575
1191	161461	109446
1192	161582	109301
1193	161714	109163
1194	161853	109031
1195	162013	108912
1196	162156	108781
1197	162294	108648
1198	162441	108519
1199	162577	108384
1200	162719	108253
1201	162857	108119
1202	162993	107984
1203	163125	107847
1204	163246	107701
1205	163379	107565
1206	163512	107428
1207	163648	107292
1208	163785	107158
1209	163924	107024
1210	164063	106892
1211	164198	106756
1212	164338	106623
1213	164473	106487
1214	164608	106352
1215	164748	106219
1216	164884	106084
1217	165020	105949
1218	165106	105782
1219	165242	105646
1220	165376	105510
1221	165514	105376
1222	165673	105256
1223	165807	105119
1224	165939	104981
1225	166076	104847
1226	166206	104708
1227	166345	104575
1228	166480	104439
1229	166620	104306
1230	166760	104174
1231	166897	104040
1232	167039	103908
1233	167167	103768
1234	167302	103632
1235	167436	103496
1236	167573	103361
1237	167741	103246
1238	167874	103109
1239	168012	102975
1240	168151	102842
1241	168289	102707
1242	168424	102572
1243	168560	102437
1244	168702	102305
1245	168837	102169
1246	168974	102035
1247	169112	101901
1248	169278	101783
1249	169411	101647
1250	169550	101513
1251	169677	101372
1252	169809	101235
1253	169943	101098
1254	170076	100961
1255	170214	100827
1256	170350	100692
1257	170486	100557
1258	170619	100420
1259	170754	100284
1260	170898	100154
1261	171042	100023
1262	171179	99888
1263	171327	99760
1264	171465	99626
1265	171601	99491
1266	171739	99356
1267	171877	99222
1268	172008	99084
1269	172145	98949
1270	172282	98815
1271	172422	98681
1272	172557	98546
1273	172692	98410
1274	172832	98277
1275	172969	98142
1276	173114	98012
1277	173252	97878
1278	173387	97742
1279	173527	97609
1280	173663	97474
1281	173798	97338
1282	173936	97203
1283	174101	97084
1284	174244	96953
1285	174384	96820
1286	174519	96684
1287	174656	96549
1288	174791	96413
1289	174945	96287
1290	175087	96155
1291	175235	96026
1292	175374	95893
1293	175514	95759
1294	175655	95627
1295	175795	95494
1296	175936	95360
1297	176072	95225
1298	176205	95088
1299	176350	94957
1300	176494	94826
1301	176624	94687
1302	176760	94552
1303	176889	94413
1304	177018	94274
1305	177154	94138
1306	177289	94002
1307	177424	93867
1308	177560	93731
1309	177698	93597
1310	177830	93459
1311	177967	93324
1312	178108	93191
1313	178243	93055
1314	178382	92921
1315	178519	92786
1316	178656	92651
1317	178790	92515
1318	178913	92372
1319	179047	92236
1320	179183	92100
1321	179315	91963
1322	179452	91828
1323	179586	91692
1324	179718	91554
1325	179856	91420
1326	179998	91288
1327	180147	91158
1328	180283	91023
1329	180417	90886
1330	180563	90756
1331	180705	90624
1332	180841	90488
1333	180990	90359
1334	181126	90223
1335	181263	90088
1336	181397	89952
1337	181531	89815
1338	181665	89679
1339	181804	89545
1340	181939	89409
1341	182076	89274
1342	182215	89140
1343	182358	89008
1344	182504	88877
1345	182651	88747
1346	182787	88611
1347	182936	88482
1348	183090	88355
1349	183237	88225
1350	183374	88090
1351	183510	87954
1352	183647	87819
1353	183781	87683
1354	183915	87546
1355	184050	87410
1356	184189	87276
1357	184322	87139
1358	184454	87001
1359	184592	86866
